Karen Peters	0-(138)071-3364
Amanda Pierce	1-(792)041-4689
Tina Greene	9-(290)474-0831
Anne Lopez	2-(393)955-5793
Amy Kennedy	0-(413)296-0358
Sarah Rice	3-(513)723-7455
Jacqueline Matthews	5-(844)143-7596
Denise Lopez	7-(715)318-3508
Marie Morgan	8-(378)023-5726
Christina Perkins	1-(597)524-4657
Tammy Morales	7-(098)129-5838
Jacqueline Burns	0-(495)122-7876
Helen Spencer	3-(736)467-1579
Brenda Allen	5-(952)254-8201
Janet Elliott	0-(909)485-4221
Anna Perkins	7-(322)038-2333
Julia Hughes	2-(820)388-1025
Carolyn Cunningham	4-(315)032-1151
Paula Peterson	0-(959)470-9250
Deborah Lynch	4-(858)709-1529
Mildred Johnston	7-(289)877-1225
Nancy Brown	7-(240)990-7018
Jacqueline Cooper	9-(684)303-2626
Evelyn Cook	2-(817)449-2627
Diane Gilbert	9-(996)780-7042
Phyllis Ray	5-(329)006-8844
Laura Bell	2-(342)499-8427
Mildred Oliver	1-(793)962-7806
Carol Porter	6-(020)995-8809
Norma Fuller	6-(733)496-8888
Louise West	6-(485)138-3653
Deborah Wagner	7-(460)164-6470
Christine Coleman	3-(633)037-4880
Nicole Wallace	7-(525)757-4248
Kimberly Freeman	2-(185)672-3900
Janice Lawson	7-(439)742-9720
Sara Garcia	7-(138)213-2616
Martha Wallace	6-(233)373-8741
Helen George	9-(534)725-3414
Gloria Kelly	5-(258)415-8749
Laura Cole	8-(656)718-6883
Barbara Mccoy	5-(569)185-6410
Nancy Brown	6-(415)415-9423
Amanda Garrett	0-(829)956-1227
Pamela Reed	2-(186)227-9591
Nicole Alvarez	8-(757)267-7737
Wanda Castillo	8-(185)152-6881
Mary Payne	8-(960)574-5035
Jessica Morrison	1-(269)776-8042
Susan Lawrence	5-(172)822-3171
Diana Gordon	3-(024)279-6450
Gloria Richardson	6-(375)203-7871
Teresa Graham	1-(174)332-8267
Elizabeth Stewart	1-(103)048-9024
Mary Bowman	1-(836)875-7394
Heather Hansen	5-(230)348-9985
Jennifer Lane	1-(524)872-6852
Carolyn Nguyen	0-(238)064-6452
Jane Howard	8-(885)803-4960
Susan Lee	6-(845)445-0077
Teresa Daniels	7-(175)721-3646
Cheryl Bishop	9-(624)961-1441
Amanda Gomez	9-(578)990-6508
Bonnie Fisher	6-(862)849-5445
Betty Moreno	5-(834)128-2806
Louise Mcdonald	4-(143)971-5144
Ruby Coleman	7-(115)374-9773
Amanda Torres	1-(269)574-0558
Elizabeth Carter	6-(379)498-8498
Kathy Hudson	6-(072)719-6634
Marie Ferguson	1-(705)786-7210
Diane Moreno	8-(060)768-8921
Bonnie Mcdonald	1-(188)595-6435
Louise Andrews	4-(465)379-3349
Lois Perkins	2-(029)921-7785
Wanda Ellis	5-(451)142-7933
Amy Williams	8-(253)736-0740
Stephanie Sims	5-(077)941-0095
Donna Murphy	9-(990)124-2120
Heather Mcdonald	3-(828)291-3803
Judith Knight	5-(389)558-6316
Lori Snyder	0-(635)329-5467
Gloria Perez	1-(700)367-2368
Julia Jordan	5-(122)493-5840
Rachel Ruiz	1-(266)083-5504
Mildred Welch	6-(354)416-6229
Evelyn Hawkins	7-(665)887-6929
Amy Perez	8-(145)661-8197
Amanda Ford	3-(900)160-1501
Phyllis Sanchez	0-(061)749-2379
Patricia Green	8-(573)294-4027
Angela Watson	2-(023)305-6642
Kathleen Hughes	2-(231)856-5141
Beverly Harris	8-(435)423-7642
Anna Frazier	7-(277)618-4928
Joyce Lopez	6-(866)478-8868
Ruby Brooks	8-(671)925-6049
Betty Garrett	5-(870)275-2116
Beverly Nelson	8-(353)897-3599
Judith Butler	5-(152)238-9653
Jean Taylor	3-(981)793-5984
Dorothy Cruz	7-(484)616-1324
Catherine Patterson	8-(106)556-6383
Ruby Jordan	2-(513)602-2125
Marie Miller	4-(196)101-6937
Irene Reyes	0-(273)158-5236
Doris Bennett	7-(776)761-5266
Melissa Bell	8-(506)025-6423
Kathryn Payne	7-(036)949-6240
Sara Lawrence	1-(930)261-4220
Ann Stewart	0-(691)919-6329
Jacqueline Cole	6-(123)386-8306
Joyce Ramos	5-(813)039-5059
Paula Franklin	9-(206)044-3647
Heather Matthews	7-(162)314-3498
Barbara Gibson	3-(128)061-7152
Ruby Martin	0-(611)166-5380
Nancy Banks	4-(249)076-9066
Carol Hamilton	8-(726)623-1651
Jacqueline Porter	9-(973)159-4202
Cheryl Flores	3-(259)730-8686
Andrea Wagner	9-(608)602-1157
Shirley Henry	1-(165)624-7771
Kathy Barnes	7-(750)392-4602
Norma Holmes	8-(423)031-0940
Ruth Gordon	7-(162)675-7860
Julia Black	8-(236)804-4990
Judith Simpson	9-(777)521-5553
Tammy George	9-(304)042-7109
Angela Howell	0-(977)099-8024
Norma Williams	4-(299)463-0122
Joan Wells	6-(951)126-7198
Cynthia Baker	6-(881)845-7505
Joyce Hunt	5-(692)493-8286
Kimberly Sims	6-(310)028-1773
Kathy Castillo	4-(167)358-8912
Lisa Scott	3-(274)486-2863
Doris Warren	6-(141)709-4903
Tammy Ryan	6-(050)972-1655
Rose Burton	3-(725)675-8734
Jacqueline Jacobs	1-(040)031-8438
Christina Coleman	4-(843)235-0524
Judith Reid	5-(933)223-7264
Diana Collins	9-(687)909-8310
Evelyn Bell	9-(555)448-5572
Brenda Boyd	4-(071)031-0221
Joyce Harvey	5-(222)518-8717
Martha Hamilton	1-(457)218-2952
Christina Perez	8-(721)480-9288
Norma Frazier	5-(782)303-9919
Diane Alvarez	8-(589)314-1006
Gloria Warren	0-(384)356-5212
Andrea Ruiz	7-(502)517-7113
Kelly Hawkins	3-(691)734-7921
Ruth Stone	7-(376)848-6459
Lois Kelley	3-(865)244-5583
Evelyn Ferguson	9-(769)352-0955
Lori Murray	2-(140)305-7568
Christine Henry	1-(321)771-9410
Amanda Robinson	5-(069)094-8551
Jean Cunningham	7-(989)592-6940
Paula Collins	8-(597)021-8709
Deborah Martin	2-(428)255-5959
Tammy Watson	0-(323)422-0754
Kimberly Gutierrez	7-(489)052-8420
Rose Alexander	5-(437)063-4358
Nicole Lawson	5-(720)998-7191
Norma Nelson	0-(461)164-3050
Gloria Owens	0-(609)433-0011
Carolyn Thomas	1-(724)764-8282
Betty Martin	1-(178)840-9903
Tina Boyd	9-(188)945-5513
Karen Lawrence	2-(820)203-2225
Joan Rivera	6-(246)770-7307
Diane Ford	8-(241)466-5549
Julie Nguyen	2-(553)603-4419
Mildred Kelley	1-(234)819-2170
Maria Bishop	7-(677)560-0769
Melissa Hansen	9-(203)841-9508
Anna Dean	0-(693)041-5381
Elizabeth Perry	1-(303)900-9676
Angela Rodriguez	3-(441)292-1957
Karen Andrews	2-(488)883-2523
Karen Greene	4-(478)585-5726
Ruth Patterson	3-(752)396-2870
Patricia Miller	7-(629)755-0068
Janice Stone	3-(703)075-7987
Wanda Rodriguez	3-(193)064-4150
Teresa Duncan	4-(528)178-8666
Kimberly Gomez	5-(955)588-0039
Cynthia Howell	8-(626)068-5654
Irene Alvarez	9-(832)744-8989
Alice Cooper	0-(229)270-7190
Diane Arnold	1-(382)719-2382
Virginia Crawford	4-(825)092-4296
Kelly Dixon	6-(467)670-6851
Ruby Rivera	3-(276)624-4131
